Variable,A09
N-Nitrosodi-n-propylamine,5.814556164225225e-4
Oxyfluorfen,-9.500926949937713e-4
Ozone,4.072350164651761e-4
Paraldehyde,-0.0024015017551987008
Paraquat dichloride,-2.1905856908269475e-5
"1,3-Phenylenediamine",-6.291495066842406e-6
2-Phenylphenol,-0.018783151725305654
Phenytoin,-0.001673402079601891
Phosphine,0.0442887060647902
Phosphorus (yellow or white),-0.0059715974140576
Picric acid,-0.0013670592839949034
Piperonyl butoxide,-0.002865470776423076
Polychlorinated alkanes,-0.00191072531897905
Propachlor,-2.4767677311305974e-4
Propane sultone,0.0025080170976123813
Propargyl alcohol,0.0014946895569548024
Propionaldehyde,0.002401335646544368
Propoxur,-0.004480744780489644
Propylene oxide,-0.0015100675556948408
Quinoline,-8.789248744800229e-4
Quinone,-6.169526072822744e-4
"S,S,S-tributyltrithiophosphate",0.004112915795632771
Saccharin (manufacturing),4.1182885111514694e-4
Selenium,7.056814578389447e-4
Selenium compounds,-0.001404150032012501
Sodium nitrite,-0.005219933674935202
"2,4-D sodium salt",-0.005483698001471115
Sulfuric acid,-0.0037985031357939797
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",-2.4781821693854007e-4
"1,1,1,2-Tetrachloroethane",-2.6483206354892307e-4
Tetrachloroethylene (Perchloroethylene),-0.002833925575134096
Thiodicarb,0.019101856869185384
Thiophanate-methyl,0.0010273614004460585
Thiram,0.001126228524429364
"Toluene-2,4-diisocyanate",-0.04391008945463954
"Toluene-2,6-diisocyanate",0.040139447409959436
Toluenediisocyanate,-0.00327139688834042
o-Toluidine,-0.002618779033878155
Trichlorfon,-1.79189806290172e-4
"1,2,4-Trichlorobenzene",9.397432807797489e-4
"1,1,2-Trichloroethane",-0.0012022137357269687
Trichloroethylene,-0.003894606349518488
Triethylamine,-0.0015540538576178365
"1,2,4-Trimethylbenzene",-0.004313192022653736
Vanadium,-2.2742588249502629e-4
Vinyl acetate,-5.039593767158705e-4
Vinyl chloride,-0.018341698213303642
Warfarin and salts,-0.0010628711975268377
o-Xylene,0.04627323000725436
p-Xylene,5.543665131376898e-4
m-Xylene,-0.09064526600942108
Xylene (mixed isomers),-0.0045056709079598686
Zinc compounds,-0.010310168726277718
Diisocyanates,-0.0012028062366838345
Polycyclic aromatic compounds,5.541084707074679e-4
Octachlorostyrene,-1.4078466415224993e-5
Pentachlorobenzene,0.0019161316653572348
Tetrabromobisphenol-A (TBBPA),-0.004101304574588529
"2,2-Bis(Bromomethyl)-1,3-propanediol",-0.04015868592106654
Furan,-2.8811418475530008e-5
Hydrogen sulfide,-8.532941410629559e-4
MIXTURE,0.01885864631885748
Diflubenzuron,6.749604740958608e-4
Famphur,-0.005255635174131139
Hydrazine sulfate,-0.005845107439230317
Oryzalin,-0.001550422779447314
Tetramethrin,0.007102397108319529
1-Bromopropane,-0.005408726942432933
Thorium dioxide,-0.002094692284614917
"2,4-D, propylene glycol butyl ether ester",-0.0036248242598626856
Vinyl bromide,-2.400314449892328e-5
Nonylphenol ethoxylates,0.002306319869976981
CO,3.467912804033639e-4
O3,0.0010676955020727506
PM10,0.0024736852163374365
SO2,-0.002923472438670402
Latitude,-0.0030219813752574267
Longitude,0.003286865956440966
Population_Density,-0.00527978602018608
Ages_0_5,-0.006186909910247839
Ages_5_9,0.0018952915065751385
Ages_10_14,-0.0035866183886452832
Ages_25_29,2.1275967221460847e-4
Ages_30_34,-0.003966428012807346
Ages_35_39,0.004970238786907686
Ages_40_44,0.0013053726011461192
Ages_45_49,0.0010860007320953955
Ages_55_59,0.005360027062208596
Ages_65_69,-0.012502404589910823
Ages_80_84,0.00195935878689334
Ages_85_plus,-5.670416781293113e-4
